time_s,undamped,underdamped,critical,overdamped
0.000000,0.3000000000,0.3000000000,0.3000000000,0.3000000000
0.005000,0.2999632133,0.2999633664,0.2999635943,0.2999640437
0.010000,0.2998528620,0.2998540833,0.2998558868,0.2998593941
0.015000,0.2996689734,0.2996730818,0.2996791020,0.2996906502
0.020000,0.2994115924,0.2994212990,0.2994354127,0.2994621196
0.025000,0.2990807823,0.2990996774,0.2991269408,0.2991778374
0.030000,0.2986766241,0.2987091649,0.2987557583,0.2988415832
0.035000,0.2981992170,0.2982507145,0.2983238886,0.2984568974
0.040000,0.2976486779,0.2977252837,0.2978333073,0.2980270959
0.045000,0.2970251421,0.2971338344,0.2972859432,0.2975552847
0.050000,0.2963287623,0.2964773328,0.2966836794,0.2970443728
0.055000,0.2955597094,0.2957567488,0.2960283541,0.2964970848
0.060000,0.2947181719,0.2949730558,0.2953217619,0.2959159725
0.065000,0.2938043563,0.2941272305,0.2945656540,0.2953034260
0.070000,0.2928184866,0.2932202528,0.2937617400,0.2946616833
0.075000,0.2917608047,0.2922531048,0.2929116880,0.2939928407
0.080000,0.2906315699,0.2912267716,0.2920171260,0.2932988611
0.085000,0.2894310591,0.2901422401,0.2910796425,0.2925815827
0.090000,0.2881595669,0.2890004991,0.2901007872,0.2918427269
0.095000,0.2868174049,0.2878025393,0.2890820723,0.2910839055
0.100000,0.2854049025,0.2865493526,0.2880249729,0.2903066278
0.105000,0.2839224059,0.2852419318,0.2869309277,0.2895123069
0.110000,0.2823702787,0.2838812710,0.2858013401,0.2887022659
0.115000,0.2807489017,0.2824683645,0.2846375789,0.2878777435
0.120000,0.2790586724,0.2810042072,0.2834409787,0.2870398993
0.125000,0.2773000053,0.2794897939,0.2822128412,0.2861898189
0.130000,0.2754733318,0.2779261196,0.2809544353,0.2853285186
0.135000,0.2735790999,0.2763141785,0.2796669981,0.2844569495
0.140000,0.2716177741,0.2746549646,0.2783517358,0.2835760020
0.145000,0.2695898353,0.2729494706,0.2770098238,0.2826865093
0.150000,0.2674957810,0.2711986884,0.2756424080,0.2817892511
0.155000,0.2653361248,0.2694036087,0.2742506049,0.2808849572
0.160000,0.2631113961,0.2675652203,0.2728355025,0.2799743104
0.165000,0.2608221407,0.2656845106,0.2713981610,0.2790579494
0.170000,0.2584689200,0.2637624648,0.2699396132,0.2781364720
0.175000,0.2560523111,0.2618000660,0.2684608650,0.2772104372
0.180000,0.2535729066,0.2597982948,0.2669628966,0.2762803679
0.185000,0.2510313146,0.2577581294,0.2654466621,0.2753467531
0.190000,0.2484281585,0.2556805449,0.2639130909,0.2744100502
0.195000,0.2457640766,0.2535665135,0.2623630879,0.2734706868
0.200000,0.2430397223,0.2514170043,0.2607975339,0.2725290627
0.205000,0.2402557638,0.2492329828,0.2592172866,0.2715855515
0.210000,0.2374128837,0.2470154110,0.2576231805,0.2706405026
0.215000,0.2345117793,0.2447652470,0.2560160279,0.2696942422
0.220000,0.2315531620,0.2424834451,0.2543966190,0.2687470752
0.225000,0.2285377575,0.2401709552,0.2527657229,0.2677992866
0.230000,0.2254663053,0.2378287231,0.2511240875,0.2668511422
0.235000,0.2223395585,0.2354576897,0.2494724403,0.2659028906
0.240000,0.2191582842,0.2330587917,0.2478114888,0.2649547635
0.245000,0.2159232623,0.2306329605,0.2461419209,0.2640069774
0.250000,0.2126352864,0.2281811226,0.2444644055,0.2630597341
0.255000,0.2092951627,0.2257041995,0.2427795926,0.2621132221
0.260000,0.2059037104,0.2232031071,0.2410881141,0.2611676168
0.265000,0.2024617612,0.2206787558,0.2393905838,0.2602230821
0.270000,0.1989701594,0.2181320505,0.2376875983,0.2592797705
0.275000,0.1954297611,0.2155638901,0.2359797369,0.2583378242
0.280000,0.1918414346,0.2129751678,0.2342675624,0.2573973753
0.285000,0.1882060600,0.2103667702,0.2325516211,0.2564585472
0.290000,0.1845245288,0.2077395783,0.2308324435,0.2555214543
0.295000,0.1807977438,0.2050944662,0.2291105444,0.2545862032
0.300000,0.1770266192,0.2024323016,0.2273864236,0.2536528929
0.305000,0.1732120796,0.1997539458,0.2256605658,0.2527216154
0.310000,0.1693550607,0.1970602530,0.2239334412,0.2517924560
0.315000,0.1654565082,0.1943520707,0.2222055060,0.2508654939
0.320000,0.1615173784,0.1916302393,0.2204772023,0.2499408024
0.325000,0.1575386373,0.1888955921,0.2187489588,0.2490184495
0.330000,0.1535212606,0.1861489551,0.2170211909,0.2480984980
0.335000,0.1494662336,0.1833911471,0.2152943012,0.2471810062
0.340000,0.1453745507,0.1806229791,0.2135686793,0.2462660275
0.345000,0.1412472154,0.1778452549,0.2118447030,0.2453536116
0.350000,0.1370852400,0.1750587704,0.2101227377,0.2444438040
0.355000,0.1328896451,0.1722643137,0.2084031372,0.2435366466
0.360000,0.1286614597,0.1694626652,0.2066862437,0.2426321780
0.365000,0.1244017208,0.1666545972,0.2049723883,0.2417304335
0.370000,0.1201114729,0.1638408740,0.2032618911,0.2408314454
0.375000,0.1157917683,0.1610222518,0.2015550615,0.2399352432
0.380000,0.1114436663,0.1581994784,0.1998521986,0.2390418537
0.385000,0.1070682333,0.1553732936,0.1981535912,0.2381513015
0.390000,0.1026665424,0.1525444286,0.1964595182,0.2372636087
0.395000,0.0982396730,0.1497136062,0.1947702488,0.2363787952
0.400000,0.0937887109,0.1468815406,0.1930860427,0.2354968789
0.405000,0.0893147475,0.1440489376,0.1914071504,0.2346178761
0.410000,0.0848188801,0.1412164942,0.1897338135,0.2337418010
0.415000,0.0803022114,0.1383848988,0.1880662647,0.2328686662
0.420000,0.0757658489,0.1355548308,0.1864047281,0.2319984830
0.425000,0.0712109052,0.1327269610,0.1847494195,0.2311312609
0.430000,0.0666384974,0.1299019513,0.1831005465,0.2302670085
0.435000,0.0620497469,0.1270804544,0.1814583087,0.2294057326
0.440000,0.0574457789,0.1242631144,0.1798228981,0.2285474393
0.445000,0.0528277227,0.1214505660,0.1781944991,0.2276921334
0.450000,0.0481967107,0.1186434352,0.1765732885,0.2268398186
0.455000,0.0435538787,0.1158423385,0.1749594362,0.2259904978
0.460000,0.0389003654,0.1130478835,0.1733531050,0.2251441728
0.465000,0.0342373119,0.1102606687,0.1717544506,0.2243008448
0.470000,0.0295658620,0.1074812830,0.1701636225,0.2234605141
0.475000,0.0248871611,0.1047103065,0.1685807633,0.2226231802
0.480000,0.0202023568,0.1019483098,0.1670060096,0.2217888421
0.485000,0.0155125979,0.0991958542,0.1654394915,0.2209574979
0.490000,0.0108190347,0.0964534917,0.1638813335,0.2201291454
0.495000,0.0061228181,0.0937217650,0.1623316538,0.2193037817
0.500000,0.0014251000,0.0910012075,0.1607905652,0.2184814032
0.505000,-0.0032729676,0.0882923431,0.1592581750,0.2176620063
